Date,Open,High,Low,Close,Adj_Close,Volume,FilterYear,Year
2/1/97,37.613529,37.613529,32.773663,34.357075,19.208363,323934904,1,1997
3/1/97,34.357075,35.791107,31.070745,32.803535,18.383072,291485892,0,1997
4/1/97,32.743786,38.5098,30.383604,38.36042,21.497137,341481762,0,1997
5/1/97,38.36042,43.917305,38.091537,41.347992,23.171358,285971796,0,1997
6/1/97,41.945507,44.813576,39.077438,43.140533,24.23448,175021742,0,1997
7/1/97,43.140533,51.83437,43.080784,50.549713,28.396627,218015061,0,1997
8/1/97,50.43021,52.312382,47.651768,48.458412,27.221823,162821826,0,1997
9/1/97,48.458412,51.356358,45.948853,50.669216,28.516624,178728763,0,1997
10/1/97,50.728966,51.266731,42.363766,47.084129,26.49894,240885431,0,1997
11/1/97,47.382889,52.551388,45.530594,52.342255,29.458225,154253618,0,1997
12/1/97,52.581261,54.254303,46.068356,50.011951,28.201628,197968889,0,1997
1/1/98,49.952198,51.804493,45.709846,47.203632,26.618019,215636037,0,1998
2/1/98,47.801147,50.609467,46.606117,49.922321,28.151068,148900193,1,1998
3/1/98,49.802818,50.997849,45.82935,49.653442,28.055807,168668124,0,1998
4/1/98,49.653442,57.361378,49.38456,55.38958,31.296911,184063156,0,1998
5/1/98,55.419456,61.812859,55.210323,56.166348,31.735817,158703722,0,1998
6/1/98,56.106598,57.361378,50.669216,54.881691,31.067959,171218483,0,1998
7/1/98,55.449329,66.025337,53.895794,63.336521,35.854153,181538948,0,1998
8/1/98,64.053535,64.471794,53.83604,53.83604,30.476025,195921450,0,1998
9/1/98,54.015297,65.09919,52.93977,61.424473,34.831272,200112769,0,1998
10/1/98,59.781311,71.612091,55.837715,70.984703,40.252472,259710712,0,1998
11/1/98,70.954826,81.53083,69.670174,78.931641,44.758854,144007840,0,1998
12/1/98,78.154877,90.792305,77.557358,88.133362,50.050694,148559616,0,1998
1/1/99,88.432121,95.24379,82.93499,87.595604,49.745308,258033559,0,1999
2/1/99,88.193115,88.193115,77.318359,81.142448,46.080551,212419797,1,1999
3/1/99,81.022942,88.880257,78.393883,84.727531,48.18037,241313874,0,1999
4/1/99,84.757408,102.891968,77.915871,99.994026,56.861713,279671531,0,1999
5/1/99,99.426384,117.59082,98.619743,110.898659,63.062645,222010571,0,1999
6/1/99,108.628105,126.19503,104.624763,123.565964,70.34549,137105811,0,1999
7/1/99,124.282982,133.066437,117.232315,120.160133,68.406593,138844366,0,1999
8/1/99,118.546844,123.924477,112.392448,119.08461,67.794235,134162053,0,1999
9/1/99,120.10038,131.632416,114.364243,115.67878,65.919533,155118140,0,1999
10/1/99,115.67878,117.829826,85.086044,93.929253,53.525562,319341809,0,1999
11/1/99,94.168259,105.043022,86.042068,98.530113,56.147381,225082463,0,1999
12/1/99,98.052101,116.754303,97.753349,103.130974,58.84742,165923111,0,1999
1/1/00,107.492828,119.263863,104.804016,107.313576,61.234062,183321540,0,2000
2/1/00,107.433075,114.483749,96.498566,98.231361,56.05167,139666521,1,2000
3/1/00,97.514343,122.60994,95.124283,113.169212,64.643341,203268134,0,2000
4/1/00,114.722755,122.370934,96.797325,106.596558,60.888935,176214181,0,2000
5/1/00,107.552582,108.628105,97.514343,102.593208,58.6022,129498146,0,2000
6/1/00,102.832214,116.933556,100.86042,104.744263,59.903111,142482251,0,2000
7/1/00,103.967499,112.631454,95.602295,107.313576,61.372471,157036395,0,2000
8/1/00,107.07457,128.346085,105.401527,126.209969,72.179321,127609906,0,2000
9/1/00,127.2108,129.003342,105.401527,107.672081,61.64642,112411947,0,2000
10/1/00,107.672081,114.364243,83.114243,94.168259,53.914951,233791458,0,2000
11/1/00,94.108505,99.784897,87.595604,89.388145,51.17815,136410847,0,2000
12/1/00,90.284416,100.143402,76.541588,81.261948,46.584774,175509074,0,2000
1/1/01,80.783936,111.615677,80.066925,107.07457,61.382309,208114878,0,2001
2/1/01,107.456978,113.422562,94.741875,95.506691,54.750816,163635088,1,2001
3/1/01,94.933075,103.632889,83.79541,91.950287,52.772133,266259300,0,2001
4/1/01,93.164436,112.858505,86.089867,110.076485,63.175117,236616603,0,2001
5/1/01,110.755257,114.627151,106.080307,106.883362,61.342518,166686584,0,2001
6/1/01,107.552582,113.766731,106.214149,108.508606,62.350605,149504465,0,2001
7/1/01,108.508606,110.32505,97.093689,100.583176,57.796535,168423156,0,2001
8/1/01,100.717018,105.248566,94.512428,95.554497,54.906975,149997969,0,2001
9/1/01,95.745697,98.594643,83.642448,87.686424,50.452374,198020876,0,2001
10/1/01,87.686424,107.170174,87.323135,103.317398,59.446014,234671667,0,2001
11/1/01,102.533463,111.854683,102.198853,110.506691,63.58252,141352568,0,2001
12/1/01,109.751434,119.216064,108.231361,115.640533,66.618477,139529912,0,2001
1/1/02,115.296364,120.831741,96.558319,103.145317,59.420208,202466792,0,2002
2/1/02,102.906311,104.493309,91.548759,93.80497,54.039383,180247765,1,2002
3/1/02,94.263863,104.063095,94.168259,99.426384,57.353306,158226850,0,2002
4/1/02,99.426384,99.426384,79.67495,80.076485,46.191479,257842453,0,2002
5/1/02,80.162521,82.686424,72.581261,76.912048,44.366108,180684368,0,2002
6/1/02,77.198853,77.39006,63.193115,68.833649,39.784145,199765814,0,2002
7/1/02,68.843208,70.936905,62.810707,67.304016,38.900059,257584716,0,2002
8/1/02,67.304016,79.206497,62.954109,72.06501,41.651794,173973126,0,2002
9/1/02,70.936905,74.091782,55.43977,55.745697,32.290997,194204963,0,2002
10/1/02,56.596558,76.281075,51.6348,75.468452,43.715466,298765110,0,2002
11/1/02,75.430206,84.235184,73.326958,83.097511,48.134621,192922252,0,2002
12/1/02,84.703636,85.52581,72.275337,74.091782,42.99699,158535421,0,2002
1/1/03,75.33461,85.038239,73.632889,74.760994,43.385353,202854441,0,2003
2/1/03,74.760994,76.52964,71.042068,74.521988,43.246666,152373642,1,2003
3/1/03,75.430206,81.166351,69.952202,74.980881,43.597603,200766311,0,2003
4/1/03,75.047798,82.686424,74.684509,81.166351,47.194149,186056518,0,2003
5/1/03,81.548759,86.424477,80.736137,84.168259,48.93961,156427206,0,2003
6/1/03,85.086044,85.162521,76.300194,78.871895,45.944038,192974761,0,2003
7/1/03,77.820267,83.202675,77.036331,77.676865,45.247921,160995717,0,2003
8/1/03,77.581261,80.994263,75.267685,78.403442,45.671158,119134378,0,2003
9/1/03,78.776291,89.359467,78.680687,84.445503,49.289505,179852483,0,2003
10/1/03,84.847038,90.382408,83.680687,85.54493,49.93121,163328087,0,2003
11/1/03,85.946465,87.456978,83.862335,86.558319,50.522724,102472540,0,2003
12/1/03,86.902489,89.980881,86.070747,88.60421,51.81057,121444365,0,2003
1/1/04,88.776291,95.458893,85.095604,94.866158,55.472187,145779452,0,2004
2/1/04,94.789673,96.013382,91.013382,92.25621,53.946045,102238026,1,2004
3/1/04,92.25621,93.307838,86.309753,87.801147,51.424206,130209950,0,2004
4/1/04,87.638626,90.391968,84.13958,84.292542,49.36924,115721072,0,2004
5/1/04,84.254303,85.803062,81.376671,84.694077,49.604427,109523838,0,2004
6/1/04,84.13002,87.198853,83.4608,84.273422,49.45813,96199154,0,2004
7/1/04,84.397705,84.550667,79.751434,83.240921,48.852154,126567046,0,2004
8/1/04,83.049713,83.546844,78.298279,80.965584,47.516834,95363504,0,2004
9/1/04,80.353729,83.441681,79.579353,81.969406,48.207806,98225988,0,2004
10/1/04,82.170174,86.300194,80.583176,85.803062,50.462471,123549440,0,2004
11/1/04,85.401527,92.380501,85.305923,90.095604,52.986992,120271278,0,2004
12/1/04,90.34417,94.646271,90.315491,94.244743,55.534351,113146239,0,2004
1/1/05,94.617592,94.741875,87.418739,89.311661,52.627499,119724114,0,2005
2/1/05,89.550667,90.793503,87.523903,88.508606,52.154274,83374255,1,2005
3/1/05,88.565964,89.608032,85.172081,87.361374,51.576485,111027879,0,2005
4/1/05,87.466537,87.724663,68.690247,73.021034,43.110214,226715790,0,2005
5/1/05,73.499046,74.67495,69.311661,72.227531,42.64175,144783136,0,2005
6/1/05,72.246651,74.311661,70.219887,70.936905,41.991024,141777772,0,2005
7/1/05,71.032501,81.367111,70.898659,79.789673,47.231403,164014369,0,2005
8/1/05,79.349907,80.497131,76.357552,77.07457,45.624214,109862531,0,2005
9/1/05,76.634796,78.499046,73.546844,76.692162,45.507027,121002745,0,2005
